"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 13 20:10:07 MSK 2022","Sat Aug 13 20:10:08 MSK 2022","837","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","isProductInCatalogPresentTest","Checking the availability of products in the catalog by name, price and description","Checking the ratio of the name, price and description of the product in the catalog"
"passed","Sat Aug 13 20:10:12 MSK 2022","Sat Aug 13 20:10:14 MSK 2022","1329","Regression Tests","Regression tests","Test.ShoppingCartTest","Test.ShoppingCartTest","itemShoppingCartTest","checking information about the product in the basket","Checking information about the item in the cart"
"passed","Sat Aug 13 20:09:34 MSK 2022","Sat Aug 13 20:09:34 MSK 2022","600","Negative Test","Negative tests","Test.LoginTest","Test.LoginTest","negativeLoginTest","verification of data input during authorization","authorization on the site with incorrect data"
"passed","Sat Aug 13 20:10:03 MSK 2022","Sat Aug 13 20:10:03 MSK 2022","737","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","isProductInCatalogPresentTest","Checking the availability of products in the catalog by name, price and description","Checking the ratio of the name, price and description of the product in the catalog"
"passed","Sat Aug 13 20:09:33 MSK 2022","Sat Aug 13 20:09:33 MSK 2022","619","Negative Test","Negative tests","Test.LoginTest","Test.LoginTest","negativeLoginTest","verification of data input during authorization","authorization on the site with incorrect data"
"passed","Sat Aug 13 20:10:05 MSK 2022","Sat Aug 13 20:10:06 MSK 2022","834","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","isProductInCatalogPresentTest","Checking the availability of products in the catalog by name, price and description","Checking the ratio of the name, price and description of the product in the catalog"
"passed","Sat Aug 13 20:10:06 MSK 2022","Sat Aug 13 20:10:07 MSK 2022","866","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","isProductInCatalogPresentTest","Checking the availability of products in the catalog by name, price and description","Checking the ratio of the name, price and description of the product in the catalog"
"passed","Sat Aug 13 20:10:20 MSK 2022","Sat Aug 13 20:10:27 MSK 2022","6984","Regression Tests","Regression tests","Test.ShoppingCartTest","Test.ShoppingCartTest","removeItemShoppingCartTestTwo","deleting an item from the shopping cart","Removing an item from the cart with the button from the catalog"
"passed","Sat Aug 13 19:44:10 MSK 2022","Sat Aug 13 19:44:11 MSK 2022","1489","Default Suite","SauceDemo","Test.LoginTest","Test.LoginTest","logOutTest","checking the logout of an authorized user","logout authorized user"
"passed","Sat Aug 13 20:09:53 MSK 2022","Sat Aug 13 20:09:54 MSK 2022","1133","Regression Tests","Regression tests","Test.ItemDetailsTest","Test.ItemDetailsTest","verifyItemNameAndPriceOnDetailsPage","checking information about all products","Checking the description of the selected product"
"passed","Sat Aug 13 20:09:19 MSK 2022","Sat Aug 13 20:09:22 MSK 2022","2646","Negative Test","Negative tests","Test.CheckOutTest","Test.CheckOutTest","negativeTest","checking the correct data when buying","registration of goods for purchase, filling in incorrect data"
"passed","Sat Aug 13 20:09:54 MSK 2022","Sat Aug 13 20:09:55 MSK 2022","1135","Regression Tests","Regression tests","Test.ItemDetailsTest","Test.ItemDetailsTest","verifyItemNameAndPriceOnDetailsPage","checking information about all products","Checking the description of the selected product"
"passed","Sat Aug 13 19:44:12 MSK 2022","Sat Aug 13 19:44:13 MSK 2022","599","Default Suite","SauceDemo","Test.LoginTest","Test.LoginTest","negativeLoginTest","verification of data input during authorization","authorization on the site with incorrect data"
"passed","Sat Aug 13 20:09:52 MSK 2022","Sat Aug 13 20:09:53 MSK 2022","1237","Regression Tests","Regression tests","Test.ItemDetailsTest","Test.ItemDetailsTest","verifyItemNameAndPriceOnDetailsPage","checking information about all products","Checking the description of the selected product"
"passed","Sat Aug 13 20:10:14 MSK 2022","Sat Aug 13 20:10:20 MSK 2022","6764","Regression Tests","Regression tests","Test.ShoppingCartTest","Test.ShoppingCartTest","removeItemShoppingCartTest","removing an item from the cart","Adding goods from the catalog to the cart"
"passed","Sat Aug 13 19:44:14 MSK 2022","Sat Aug 13 19:44:14 MSK 2022","880","Default Suite","SauceDemo","Test.LoginTest","Test.LoginTest","positiveLoginTest","website authorization check","authorization on the site with input parameters USERNAME=standard_user, PASSWORD=secret_sauce"
"passed","Sat Aug 13 20:10:09 MSK 2022","Sat Aug 13 20:10:10 MSK 2022","1191","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","sortTestZToA","Check for sorting product from Z to A","Checking the sorting of goods in the catalog from Z to A"
"passed","Sat Aug 13 20:09:24 MSK 2022","Sat Aug 13 20:09:26 MSK 2022","2137","Negative Test","Negative tests","Test.CheckOutTest","Test.CheckOutTest","negativeTest","checking the correct data when buying","registration of goods for purchase, filling in incorrect data"
"passed","Sat Aug 13 20:10:00 MSK 2022","Sat Aug 13 20:10:01 MSK 2022","1448","Regression Tests","Regression tests","Test.LoginTest","Test.LoginTest","logOutTest","checking the logout of an authorized user","logout authorized user"
"passed","Sat Aug 13 19:44:12 MSK 2022","Sat Aug 13 19:44:12 MSK 2022","636","Default Suite","SauceDemo","Test.LoginTest","Test.LoginTest","negativeLoginTest","verification of data input during authorization","authorization on the site with incorrect data"
"passed","Sat Aug 13 20:10:51 MSK 2022","Sat Aug 13 20:10:59 MSK 2022","7282","Smoke Tests","All Smoke tests","Test.CheckOutTest","Test.CheckOutTest","positiveTest","data entry check when ordering","registration of goods for purchase, filling in data"
"passed","Sat Aug 13 20:09:16 MSK 2022","Sat Aug 13 20:09:19 MSK 2022","2940","Negative Test","Negative tests","Test.CheckOutTest","Test.CheckOutTest","negativeTest","checking the correct data when buying","registration of goods for purchase, filling in incorrect data"
"passed","Sat Aug 13 20:10:08 MSK 2022","Sat Aug 13 20:10:09 MSK 2022","1202","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","sortTestAToZ","Сheck for sorting product from A to Z","Checking the sorting of goods in the catalog from A to Z"
